datetime,timestamp,user,src,out,time
2023-04-27 00:01:47,1682553707,S4***-95QG,Anubis Collection Package,AUG | Snake Pit,1682553707
2023-04-27 00:01:47,1682553707,AR***-L3UL,Anubis Collection Package,XM1014 | Hieroglyph,1682553707
2023-04-27 00:01:49,1682553709,A9***-P2VC,Anubis Collection Package,AUG | Snake Pit,1682553709
2023-04-27 00:01:49,1682553709,AF***-RRAG,“突围大行动”武器箱,P2000 | 乳白象牙,1682553709
2023-04-27 00:01:49,1682553709,S4***-95QG,Anubis Collection Package,AUG | Snake Pit,1682553709
2023-04-27 00:01:50,1682553710,AS***-YYDQ,Anubis Collection Package,XM1014 | Hieroglyph,1682553710
2023-04-27 00:01:50,1682553710,AR***-L3UL,Anubis Collection Package,MP7 | Sunbaked,1682553710
2023-04-27 00:01:51,1682553711,S4***-95QG,Anubis Collection Package,AUG | Snake Pit,1682553711
2023-04-27 00:01:53,1682553713,AF***-RRAG,“突围大行动”武器箱,CZ75 | 猛虎,1682553713
2023-04-27 00:01:54,1682553714,AR***-L3UL,Anubis Collection Package,XM1014 | Hieroglyph,1682553714
2023-04-27 00:01:55,1682553715,SL***-S4UJ,“头号特训”武器箱,P250 | 影魔,1682553715
2023-04-27 00:01:57,1682553717,AF***-RRAG,“突围大行动”武器箱,FN57 | 狩猎利器,1682553717
2023-04-27 00:01:57,1682553717,AR***-L3UL,Anubis Collection Package,M249 | Submerged,1682553717
2023-04-27 00:01:58,1682553718,A9***-P2VC,Anubis Collection Package,AWP | Black Nile,1682553718
2023-04-27 00:01:59,1682553719,AS***-YYDQ,Anubis Collection Package,SSG 08 | Azure Glyph,1682553719
2023-04-27 00:01:59,1682553719,AR***-L3UL,Anubis Collection Package,M249 | Submerged,1682553719
2023-04-27 00:01:59,1682553719,AM***-4BFG,Anubis Collection Package,XM1014 | Hieroglyph,1682553719
2023-04-27 00:02:01,1682553721,AF***-RRAG,“突围大行动”武器箱,P2000 | 乳白象牙,1682553721
2023-04-27 00:02:04,1682553724,SN***-SHFC,CS:GO 10周年印花胶囊,印花 | 禽能补啄,1682553724
2023-04-27 00:02:06,1682553726,AF***-RRAG,“突围大行动”武器箱,P2000 | 乳白象牙,1682553726
2023-04-27 00:02:07,1682553727,SP***-AMTL,段位印花胶囊,印花 | 传奇之鹰 ー 大师级,1682553727
2023-04-27 00:02:08,1682553728,AS***-YYDQ,Anubis Collection Package,M4A1 消音型 | Mud-Spec,1682553728
2023-04-27 00:02:09,1682553729,S8***-MXWA,棱彩2号武器箱,MP5-SD | 沙漠精英,1682553729
2023-04-27 00:02:09,1682553729,AF***-RRAG,“突围大行动”武器箱,沙漠之鹰 | 阴谋者,1682553729
2023-04-27 00:02:10,1682553730,AM***-4BFG,Anubis Collection Package,M249 | Submerged,1682553730
2023-04-27 00:02:10,1682553730,AE***-N3EG,裂空武器箱,SSG 08 | 主机001,1682553730
2023-04-27 00:02:12,1682553732,AM***-XBVE,变革武器箱,SG 553（StatTrak™） | 赛博之力,1682553732
2023-04-27 00:02:14,1682553734,A9***-P2VC,Anubis Collection Package,MAC-10 | Echoing Sands,1682553734
2023-04-27 00:02:15,1682553735,AF***-RRAG,“突围大行动”武器箱,CZ75 | 猛虎,1682553735
2023-04-27 00:02:16,1682553736,SJ***-VECA,变革武器箱,P90（StatTrak™） | 元女王,1682553736
2023-04-27 00:02:18,1682553738,AF***-RRAG,“突围大行动”武器箱,内格夫 | 沙漠精英,1682553738
2023-04-27 00:02:19,1682553739,SD***-KFWE,Anubis Collection Package,MAC-10 | Echoing Sands,1682553739
2023-04-27 00:02:20,1682553740,A6***-ZNGL,Anubis Collection Package,M249 | Submerged,1682553740
2023-04-27 00:02:20,1682553740,AS***-YYDQ,Anubis Collection Package,AUG | Snake Pit,1682553740
2023-04-27 00:02:20,1682553740,A6***-VPGQ,伽玛武器箱,SG 553 | 轻空,1682553740
2023-04-27 00:02:20,1682553740,AM***-4BFG,Anubis Collection Package,SSG 08 | Azure Glyph,1682553740
